,open,high,low,close,adjclose,volume,ticker
2002-07-01,21.367000579833984,22.466999053955078,21.367000579833984,22.28700065612793,16.591611862182617,87810.0,ASIANPAINT.NS
2002-07-02,21.3700008392334,22.783000946044922,21.3700008392334,22.520000457763672,16.765066146850586,588615.0,ASIANPAINT.NS
2002-07-03,22.267000198364258,22.799999237060547,21.933000564575195,22.732999801635742,16.923635482788086,162075.0,ASIANPAINT.NS
2002-07-04,22.66699981689453,23.33300018310547,22.66699981689453,22.966999053955078,17.097837448120117,266625.0,ASIANPAINT.NS
2002-07-05,23.399999618530273,25.0,23.33300018310547,24.05699920654297,17.90929412841797,408600.0,ASIANPAINT.NS
2002-07-08,24.003000259399414,24.867000579833984,24.003000259399414,24.503000259399414,18.241308212280273,165600.0,ASIANPAINT.NS
2002-07-09,24.399999618530273,24.639999389648438,24.0,24.30699920654297,18.095407485961914,74835.0,ASIANPAINT.NS
2002-07-10,24.003000259399414,24.600000381469727,23.746999740600586,24.46299934387207,18.21153450012207,93675.0,ASIANPAINT.NS
2002-07-11,24.267000198364258,24.267000198364258,22.399999618530273,24.05699920654297,18.181804656982422,61380.0,ASIANPAINT.NS
2002-07-12,24.33300018310547,24.33300018310547,23.66699981689453,23.80699920654297,17.99286651611328,63405.0,ASIANPAINT.NS
2002-07-15,24.132999420166016,24.132999420166016,23.05299949645996,23.232999801635742,17.559049606323242,42795.0,ASIANPAINT.NS
2002-07-16,23.65999984741211,23.65999984741211,23.0,23.177000045776367,17.516721725463867,107070.0,ASIANPAINT.NS
2002-07-17,22.933000564575195,22.982999801635742,22.020000457763672,22.44300079345703,16.96198081970215,114600.0,ASIANPAINT.NS
2002-07-18,23.33300018310547,23.33300018310547,21.466999053955078,22.51300048828125,17.01488494873047,88500.0,ASIANPAINT.NS
2002-07-19,22.132999420166016,22.66699981689453,20.732999801635742,22.027000427246094,16.647579193115234,104325.0,ASIANPAINT.NS
2002-07-22,22.0,22.533000946044922,21.66699981689453,22.226999282836914,16.79872703552246,86790.0,ASIANPAINT.NS
2002-07-23,22.33300018310547,22.65999984741211,22.0,22.26300048828125,16.82593536376953,52935.0,ASIANPAINT.NS
2002-07-24,20.799999237060547,22.933000564575195,20.799999237060547,22.37299919128418,16.909080505371094,34530.0,ASIANPAINT.NS
2002-07-25,21.867000579833984,23.600000381469727,21.867000579833984,23.05699920654297,17.426029205322266,188115.0,ASIANPAINT.NS
2002-07-26,23.0,23.433000564575195,22.33300018310547,22.753000259399414,17.196269989013672,420480.0,ASIANPAINT.NS
